domain,predefined_inventory_urls
express.richmondhilltoyota.com,"https://express.richmondhilltoyota.com/inventory/used,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3AC-HR,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3ACamry,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3ACamry%20Hybrid,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3ACorolla%20Hatchback,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3ACorolla%20Hybrid,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3ACorolla%20Sedan,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3AGR%20Supra,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3AHighlander,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3AHighlander%20Hybrid,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3APrius%20Prime,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3ARAV4,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3ASienna,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3ATacoma%20Access%20Cab,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3ATacoma%20Double%20Cab,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3ATundra%20CrewMax%20Cab,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3ATundra%20Double%20Cab,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3A4Runner,https://express.richmondhilltoyota.com/inventory?deal_type=finance&deal_down=2000&f=submodel%3A86"
express.richmondhillhyundai.com,"https://express.richmondhillhyundai.com/inventory/used,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=submodel%3AAccent%20Hatchback,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=submodel%3AElantra%20GT,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=submodel%3AElantra%20GT%20N%20Line,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=submodel%3AElantra%20GT%20N%20Line,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=submodel%3AElantra%20Sedan,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=submodel%3AElantra%20Sport,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=submodel%3AIONIQ%20Electric,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=submodel%3AIONIQ%20Hybrid,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=submodel%3AKona,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=submodel%3APalisade,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=submodel%3ASanta%20Fe,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=%3Asubmodel&f=submodel%3ASonata,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=%3Asubmodel&f=submodel%3ATucson,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=%3Asubmodel&f=submodel%3ASanta%20Fe%20XL,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=%3Asubmodel&f=submodel%3AVeloster,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=%3Asubmodel&f=submodel%3AVeloster%20N,https://express.richmondhillhyundai.com/inventory?deal_type=cash&f=%3Asubmodel&f=submodel%3AVenue"
performance-bmw.com,"https://www.performance-bmw.com/vehicles/new/?st=price,asc&view=grid&sc=new,https://www.performance-bmw.com/vehicles/used/?pr=&mk=&md=&bs=&od=&st=price,asc&view=grid&sc=used"
truckmax.com,https://www.truckmax.com/buy-vehicles-in-miami-fl
thetavernacollection.com,https://www.thetavernacollection.com/used-vehicles-hollywood-fl?limit=1000
hadadmotors.com,http://www.hadadmotors.com/inventory.html
tennesseemuffler.com,https://www.tennesseemuffler.com/used-cars-for-sales#Inventory
euhardyauto.com,https://showroom.auction123.com/euhardys_auto_and_cycle/index.html?type=Sedans&amp;sort=SimilarVehicle&amp;SimilarVehicle=9063|2G1WU57M391243803&amp;leadsource=Showroom|euhardys_auto_and_cycle
jovansautosales.com,https://www.jovansautosales.com/
bobhook.com,https://www.bobhook.com/used-vehicles/#action=im_ajax_call&perform=get_results&type%5B%5D=New&type%5B%5D=Used&page=1
